create_date,forecast_date,data_source_marker,network_id,master_network_id,timeslot,impression_type,forecast_impressions
2018-02-28,2018-01-05,R,33,,88,H,639260
2018-02-28,2018-01-05,R,33,,89,H,664846
2018-02-28,2018-01-05,R,33,,90,H,695671
2018-02-28,2018-01-05,R,33,,91,H,704009
2018-02-28,2018-01-05,R,33,,92,H,717116
2018-02-28,2018-01-05,R,33,,93,H,743907
2018-02-28,2018-01-05,R,33,,94,H,754193
2018-02-28,2018-01-05,R,33,,95,H,744545
2018-02-28,2018-01-05,R,33,,96,H,767683
2018-02-28,2018-01-06,R,33,,1,H,768352
2018-02-28,2018-01-06,R,33,,2,H,755944
2018-02-28,2018-01-06,R,33,,3,H,725605
2018-02-28,2018-01-06,R,33,,4,H,713834
2018-02-28,2018-01-06,R,33,,5,H,680391
2018-02-28,2018-01-06,R,33,,6,H,643893
2018-02-28,2018-01-06,R,33,,7,H,607670
2018-02-28,2018-01-06,R,33,,8,H,575675
2018-02-28,2018-01-06,R,33,,9,H,513933
2018-02-28,2018-01-06,R,33,,10,H,479611
2018-02-28,2018-01-06,R,33,,11,H,430011
2018-02-28,2018-01-06,R,33,,12,H,381883
2018-02-28,2018-01-06,R,33,,13,H,338882
2018-02-28,2018-01-06,R,33,,14,H,300394
2018-02-28,2018-01-06,R,33,,15,H,259547
2018-02-28,2018-01-06,R,33,,16,H,213544
2018-02-28,2018-01-06,R,33,,17,H,184833
2018-02-28,2018-01-06,R,33,,18,H,157002
2018-02-28,2018-01-06,R,33,,19,H,129254
2018-02-28,2018-01-06,R,33,,20,H,92830
2018-02-28,2018-01-06,R,33,,21,H,77072
2018-02-28,2018-01-06,R,33,,22,H,60158
2018-02-28,2018-01-06,R,33,,23,H,56448
2018-02-28,2018-01-06,R,33,,24,H,54989
2018-02-28,2018-01-06,R,33,,25,H,45941
2018-02-28,2018-01-06,R,33,,26,H,42651
2018-02-28,2018-01-06,R,33,,27,H,39114
2018-02-28,2018-01-06,R,33,,28,H,51991
2018-02-28,2018-01-06,R,33,,29,H,64807
2018-02-28,2018-01-06,R,33,,30,H,64746
2018-02-28,2018-01-06,R,33,,31,H,72797
2018-02-28,2018-01-06,R,33,,32,H,96396
2018-02-28,2018-01-06,R,33,,33,H,103315
2018-02-28,2018-01-06,R,33,,34,H,119636
2018-02-28,2018-01-06,R,33,,35,H,125599
2018-02-28,2018-01-06,R,33,,36,H,153912
2018-02-28,2018-01-06,R,33,,37,H,156943
2018-02-28,2018-01-06,R,33,,38,H,180747
2018-02-28,2018-01-06,R,33,,39,H,187518
2018-02-28,2018-01-06,R,33,,40,H,207322
2018-02-28,2018-01-06,R,33,,41,H,211727
2018-02-28,2018-01-06,R,33,,42,H,225075
2018-02-28,2018-01-06,R,33,,43,H,243464
2018-02-28,2018-01-06,R,33,,44,H,242415
